,dataset,algo,samplerate,frame_length,hop_size,smp_length,frames_analyzed,rpa50,rpa50_std,rpa25,rpa25_std,rpa10,rpa10_std,rca50,rca50_std,rca25,rca25_std,rca10,rca10_std
0,SASSE_16/validation,yin,16000,1024,512,0.05,5360,0.7716417910447761,0.009403242525833003,0.6076492537313433,0.010937679141602884,0.27705223880597013,0.010025262287911754,0.7792910447761194,0.009290118923286805,0.621455223880597,0.010864881735361235,0.30522388059701494,0.01031556807277578
1,['SASSE_16/validation'],yin,[16000],[1024],[160],[0.05],[16080],[0.7916044776119403],[0.0052529000655192485],[0.5893656716417911],[0.006362398548675664],[0.28389303482587064],[0.0058313236126906],[0.8026119402985075],[0.005147710004731096],[0.6080845771144279],[0.006313628112001445],[0.3231965174129353],[0.006048747483391886]
2,SASSE_16/validation,pyin,16000,1024,512,0.05,5102,0.8806350450803606,0.00744406269642824,0.7473539788318306,0.00997684047136621,0.5270482163857311,0.011463235871759634,0.8833790670325362,0.007369455971710193,0.7538220305762446,0.009890827468799167,0.5564484515876127,0.011406650629166112
3,SASSE_16/validation,pyin,16000,1024,160,0.05,15523,0.8659408619467887,0.0044848543911409225,0.6726792501449462,0.006176561978807632,0.4504928171100947,0.006549175696554466,0.8747020550151389,0.004357707408094822,0.6899439541325775,0.006088117533576466,0.49301037170650003,0.006580874135730589
